大黄、炒牵牛子、槟榔、人参、朱砂	消食导滞，祛痰通便
川芎、天麻	活血平肝，通络止痛
川芎、天麻、菊花、蔓荆子、藁本、白芍、丹参、墨旱莲、女贞子、牛膝	平肝熄风，活血化瘀
天麻、羌活、独活、盐杜仲、牛膝、粉萆薢、附子（黑顺片）、当归、地黄、玄参	祛风除湿，通络止痛，补益肝肾
天麻、白芷、川芎、荆芥、当归、乳香（醋制）	养血祛风，散寒止痛
地黄、当归、羌活、独活、附片（黑顺片）（砂炒）、肉桂、天麻（姜汁制）、盐杜仲、酒川牛膝、玄参、茯苓	温肾养肝，祛风止痛
天麻、地龙、石菖蒲、远志、熟地黄、肉苁蓉	滋补肝肾，平肝息风，通络止痛
天麻、钩藤、石决明、栀子、黄芩、牛膝、盐杜仲、益母草、桑寄生、首乌藤、茯苓	平肝熄风，清热安神
天麻、白芷、制何首乌、熟地黄、丹参、川芎、当归、炒蒺藜、桑叶、墨旱莲、酒女贞子、白芍、黄精（蒸）、甘草	滋阴补肾，养血息风
女贞子、墨旱莲、地黄、紫草、炒酸枣仁、柏子仁、钩藤、珍珠粉、茯苓、莲子心	滋肾，宁心
当归、白芍、川芎、熟地黄、党参、炒白术、茯苓、甘草、肉桂、益母草、牡丹皮、没药（制）、醋延胡索、藁本、白芷、黄芩、白薇、醋香附、砂仁、陈皮、煅赤石脂、鹿角霜、阿胶	益气养血，理气活血，止痛
当归、白芍、川芎、熟地黄、党参、麸炒白术、茯苓、甘草、肉桂、益母草、牡丹皮、醋没药、醋延胡索、藁本、白芷、黄芩、白薇、醋香附、砂仁、陈皮、煅赤石脂、鹿角霜、阿胶	益气养血，理气活血，止痛
蛤蚧、制蟾酥、黄芪、地龙、麻黄、党参、苦杏仁、白果、枳实、天冬、南五味子（酒蒸）、麦冬、紫苑、百部、枸杞子、熟地黄、远志、葶苈子、洋金花、石膏、炙甘草	宣肺定喘，止咳化痰，益气养阴
姜黄、大黄、黄柏、苍术、厚朴、陈皮、甘草、生天南星、白芷、天花粉	清热解毒，消肿止痛
忍冬藤、大血藤、甘草、大青叶、蒲公英、牡丹皮、赤芍、川楝子、醋延胡索、熟大黄	清热凉血，化瘀止痛
人参、枸杞子、当归、熟地黄、赤芍、山茱萸、知母、黄柏、牡丹皮、石菖蒲、远志、茯苓、菟丝子、淫羊藿、巴戟天、蛇床子、狗脊、五味子	补肾助阳，调补冲任，益气养血，安神解郁
苦参、关黄柏、黄芩、莪术、蛤壳、红丹、儿茶、乳香、没药、猪胆粉、冰片	清热解毒，燥湿杀虫，去腐生肌，化瘀止痛
地黄、忍冬藤、盐续断、杜仲叶（盐炙）、麦冬、炒川楝子、酒白芍、醋延胡索、甘草、侧柏叶（炒）、莲房炭、大血藤	益肾和血，理气止痛
白芍、香附、当归、三七、醋艾炭、麦冬、党参、益母草	养血理气，活血调经
熟地黄、川芎、白芍、艾叶、当归、甘草、阿胶	补血，调经，止血
苦参、蛇床子、大黄、百部、乌梅、硼砂、冰片、白矾、甘草	清热燥湿，杀虫止痒
苦玄参、地胆草、当归、鸡血藤、两面针、横经席、柿叶、薪箕、五指毛桃	清热祛湿，调经止带
赤芍、土茯苓、醋三棱、炒川楝子、醋莪术、醋延胡索、炒芡实、当归、苦参、醋香附、黄柏、丹参、山药	清热利湿，理气活血，散结消肿
熟地黄、甘草、地黄、川芎（酒）、当归（酒蒸）、延胡索（酒醋制）、酒黄芩、郁金、木香、盐杜仲、香附（酒醋制）、酒白芍、蔓荆子（酒蒸）、砂仁	疏肝理气，养血活血
当归、白术、熟地黄、川芎、酒白芍、醋香附、益母草、黄芪、杜仲、艾叶（炒）、麦冬、阿胶、甘草、陈皮、茯苓、砂仁	补养气血，疏肝解郁，祛瘀调经
当归、白芍、川芎、地黄、栀子、黄连、石韦、海金沙、甘草、木通、滑石	清热利湿，活血止痛
醋香附、川芎、当归、醋延胡索、白术、甘草、大枣、白芍、赤芍、熟地黄、碳酸钙	养血舒肝，调经止痛
千斤拔、金樱根、穿心莲、功劳木、单面针、当归、鸡血藤、党参	清热除湿，益气化瘀
椿皮、五味子、黄柏、龟甲、茯苓、阿胶、山药	清热燥湿，收敛止带
当归、川芎、醋香附、麸炒白术、白芍、赤芍、醋延胡索、熟地黄、大枣、甘草	养血柔肝，理气调经
巴豆（制）、干漆（炭）、醋香附、红花、大黄（醋炙）、沉香、木香、醋莪术、醋三棱、郁金、黄芩、艾叶（炭）、醋鳖甲、硇砂（醋制）、醋山甲	破瘀通经，软坚散结
当归、熟地黄、续断、白芍、山药、白术、地榆炭、白芷、煅牡蛎、海螵蛸、阿胶珠、血余炭	补血健脾，固精止带
黑木耳（醋制）、当归、酒白芍、川芎、木瓜、盐杜仲、续断、川牛膝（酒蒸）、苍术、盐小茴香、木香、丁香、母丁香、乳香（制）、茯苓、土茯苓、龟甲（制）	补益肝肾，祛湿通络，活血止痛
川贝母、羌活、玄参、木通、薄荷、赤芍、制天南星、地黄、葛根、桔梗、清半夏、钩藤、橘红、前胡、冰片、朱砂、羚羊角、水牛角浓缩粉	清热化痰，散风镇惊
山药、续断、黄芪、当归、狗脊（去毛）、菟丝子、桑寄生、杜仲（炒）、补骨脂、党参、茯苓、白术（焦）、阿胶、地黄、山茱萸、枸杞子、乌梅、白芍、砂仁、益智、苎麻根、黄芩、艾叶	健脾固肾，养血安胎
山药、续断、黄芪、当归、狗脊（去毛）、菟丝子、桑寄生、盐杜仲、补骨脂、党参、茯苓、炒白术、阿胶、地黄、山茱萸、枸杞子、乌梅、白芍、砂仁、益智、苎麻根、黄芩、艾叶	健脾固肾，养血安胎
丹参、地黄、酒女贞子、熟地黄、墨旱莲、煅珍珠母、石菖蒲、首乌藤、合欢皮、五味子	养血安神，滋补肝肾
桂枝、醋延胡索、煅牡蛎、小茴香、砂仁、高良姜、甘草	温中散寒，理气止痛，和胃止呕
天竺黄、红花、人工牛黄、岩白菜、甘草、高山辣根菜、洪连、檀香、唐古特乌头	清热祛风，化痰止咳
益母草、马齿苋	活血化瘀，清热止血
牛黄、水牛角浓缩粉、麝香或人工麝香、珍珠、朱砂、雄黄、黄连、黄芩、栀子、郁金、冰片	清热解毒，镇惊开窍
牛黄、水牛角浓缩粉、人工麝香、珍珠、朱砂、雄黄、黄连、黄芩、栀子、郁金、冰片	清热解毒，镇惊开窍
郁金、黄连、栀子、黄芩、天麻、珍珠母、黄芪、白芍、党参、麦冬、醋五味子、川芎、人工牛黄、水牛角浓缩粉、冰片	清热镇惊，平肝潜阳
炒酸枣仁、枸杞子、藤合欢	补肾益精，养心安神
炒酸枣仁、川芎、知母、麦冬、制何首乌、五味子、丹参、茯苓	补血滋阴，养心安神
丹参、五味子（蒸）、石菖蒲、安神膏	养心安神
丹参、五味子（蒸）、石菖蒲、安神膏	养心安神
鹿茸、制何首乌、淫羊藿、干姜、甘草、大枣、维生素	生精补髓，益气养血，强脑安神
醋延胡索、枯矾、海螵蛸（去壳）	行气活血，制酸止痛
当归、川芎（酒炙）、黄芩、炒白芍、白术	养血安胎
人工牛黄、猪胆粉、朱砂、冰片、水牛角浓缩粉、珍珠、黄芩、黄连、栀子、雄黄、郁金、石膏、煅赭石、珍珠母、薄荷脑	清热解毒，醒脑安神，豁痰开窍，镇惊熄风
生川乌、生草乌、乌药、白蔹、白芷、白及、木鳖子、木通、木瓜、三棱、莪术、当归、赤芍、肉桂、大黄、连翘、血竭、阿魏、乳香、没药、儿茶、薄荷脑、水杨酸甲酯、冰片	消积化癥，逐瘀止痛，舒筋活血，追风散寒
血余炭、洋葱、附子、生川乌、制天南星、干姜	温阳祛痰，止咳定喘
紫苏叶、桑叶、前胡、浙贝母、麻黄、桔梗、制天南星、陈皮、炒苦杏仁、黄芩、青黛、天花粉、麸炒枳壳、炒山楂、甘草、人工牛黄	清热解表，止嗽化痰
荆芥、前胡、桔梗、蜜百部、蜜紫菀、陈皮、鱼腥草、薄荷、蜜罂粟壳、蜜甘草	疏风宣肺，止咳化痰
茜草、蒲黄、三七、地榆、黄芩、地黄、仙鹤草、海螵蛸、党参、白芍、甘草	化瘀清热，固经止血
地稔、两面针、当归、五指毛桃、穿破石	清热利湿，祛瘀止痛，收敛止带
地稔、两面针、当归、五指毛桃、柘木	清热利湿，祛瘀止痛，收敛止带
熟大黄、土鳖虫、水蛭、桃仁、蒲黄、黄芩、枳实、牡蛎、地黄、白芍、甘草	活血逐瘀，消癥破积
重楼	凉血止血，清热除湿，化瘀止痛
檀香油	辛温通阳，理气止痛
独活、白芍、槲寄生、熟地黄、杜仲（炒）、牛膝、秦艽、桂枝、防风、细辛、党参、甘草、当归、川芎、茯苓	补肝肾，祛风湿，止痹痛
连翘、黄连、栀子（姜炒）、木通、玄参、天花粉、赤芍、大黄、黄芩、滑石	清热泻火，利尿通便
麻黄、胆南星、石膏、蜜桑白皮、射干、炒莱菔子、苦杏仁、白前、黄芩、醋五味子	清肺化痰，止咳平喘
薏苡仁、稻芽、山楂、淡竹叶、钩藤、蝉蜕、甘草	开胃消滞，清热定惊
人工牛黄、珍珠、雄黄、大黄、黄连、甘草、天花粉、川贝母、赤芍、乳香（制）、没药（制）、冰片	清热解毒，活血消肿
六神曲（炒焦）、焦山楂、焦麦芽、焦槟榔、醋莪术、三棱（制）、牵牛子（炒焦）、大黄	消食化滞，泻火通便
六神曲（炒焦）、焦山楂、焦麦芽、焦槟榔、醋莪术、三棱（麸炒）、大黄、炒牵牛子	消食化滞，泻火通便
麻黄、金银花、苦杏仁、板蓝根、石膏、甘草、瓜蒌	宣肺清热，止咳，祛痰，平喘
麻黄、川贝母、苦杏仁（炒）、黄芩、天竺黄、紫苏子（炒）、僵蚕（炒）、山楂（炒）、莱菔子（炒）、石膏、鱼腥草、细辛、茶叶、甘草、桔梗	清热宣肺，化痰止咳，降逆平喘
金银花、射干、金果榄、桔梗、玄参、麦冬、人工牛黄、冰片	清热利咽，解毒止痛
连翘、地黄、滇柴胡、玄参、桑叶、浙贝母、蒲公英、南板蓝根、滇紫草、桔梗、菔子、甘草	解表清热，止咳化痰
全蝎、炒僵蚕、雄黄、朱砂、甘草	镇惊熄风
广藿香、菊花、连翘、大青叶、板蓝根、地黄、地骨皮、白薇、薄荷、石膏	清热解表
薄荷、荆芥穗、苦杏仁、牛蒡子、黄芩、桔梗、前胡、白芷、炒栀子、焦山楂、六神曲（焦）、焦麦芽、芦根、金银花、连翘	疏散风热，清热止咳
广藿香、菊花、连翘、大青叶、板蓝根、地黄、地骨皮、白薇、薄荷、石膏	疏风解表，清热解毒
白术、陈皮、山楂、党参、莲子、茯苓	健脾胃，助消化
胆南星、天麻、太子参、茯苓、水半夏（制）、橘红、九节菖蒲、青果、琥珀、沉香、六神曲（麸炒）、麸炒枳壳、川芎、羌活	豁痰熄风，健脾理气
黑胡椒	温中散寒，止泻
柴胡、桂枝、葛根、浮萍、黄芩、白芍、蝉蜕	发汗解表，清里退热
柴胡、桂枝、葛根、浮萍、黄芩、白芍、蝉蜕	发汗解表，清里退热
甘草流浸膏、、、橙皮酊	祛痰,镇咳
玄参、麦冬、胆南星、杏仁水、、桔梗、竹茹、桑白皮、天花粉、川贝母、瓜蒌子、甘草、炒紫苏子、知母、紫苏叶油	润肺清热，止嗽化痰
葛根、黄芩、黄连、厚朴、白芍、茯苓、焦山楂、乌梅、甘草、滑石粉	清热利湿，止泻
地锦草、儿茶、乌梅、焦山楂、茯苓、白芍、甘草	清热利湿，健脾止泻，缓急止痛
炒山楂、槟榔、枳实、蜜枇杷叶、瓜蒌、炒莱菔子、炒葶苈子、桔梗、连翘、蝉蜕	清热肃肺，消积止咳
炒鸡内金、山楂、六神曲（炒）、炒麦芽、槟榔、陈皮	消食化滞，健脾和胃
麻黄、炒苦杏仁、石膏、甘草、黄芩、板蓝根、北豆根	清热宣肺，平喘，利咽
黄柏、灯心草、栀子、钩藤、雄黄、黄连、朱砂、龙胆、黄芩、大黄、薄荷素油0	清热解毒，祛风镇惊
麻黄、前胡、黄芩、炒紫苏子、石膏、炒苦杏仁、葶苈子、竹茹	清热化痰，止咳平喘
紫苏叶、菊花、葛根、川贝母、炒苦杏仁、枇杷叶、炒紫苏子、蜜桑白皮、前胡、射干、栀子（姜炙）、黄芩、知母、板蓝根、人工牛黄、冰片	清热解表，止咳化痰
柴胡、黄芩、板蓝根、葛根、金银花、水牛角、连翘、大黄	清热解毒，泻火利咽
钩藤、炒僵蚕、胆南星（酒炙）、天竺黄、桔梗、木香、砂仁、陈皮、麸炒苍术、茯苓、炒山楂、六神曲（麸炒）、炒麦芽、薄荷、滑石、甘草、朱砂、牛黄	清热散风，消食化滞
蜜百部、苦杏仁、桔梗、桑白皮、麦冬、知母、黄芩、陈皮、甘草、制天南星、枳壳（炒）	清肺，止咳，化痰
茵陈、栀子（姜炙）、黄芩、黄柏、焦山楂、大豆黄卷、郁金、通草	清热利湿，解郁止痛
人参、茯苓、白术、陈皮、鸡内金、酒大黄、鳖甲、地骨皮、北沙参、炙甘草、青蒿、麦冬、桂枝、干姜、淡附片、瓜蒌、款冬花、紫菀、桑白皮、胆南星、黄芪、枸杞子	健脾益肺，止咳平喘
麻黄、苦杏仁、石膏、甘草、金银花、连翘、知母、黄芩、板蓝根、麦冬、鱼腥草	清热解毒，宣肺化痰
人工牛黄、地龙、珍珠、拳参、牛胆粉、甘草、平贝母、人工麝香、射干、朱砂、黄连、黄芩、羚羊角、北寒水石、冰片、新疆紫草、柴胡	清热化痰，止咳平喘，镇惊开窍
党参、白术、茯苓、葛根、甘草、广藿香、木香	健脾和胃，生津止泻
紫苏叶、广藿香、薄荷、羌活、陈皮、制白附子、胆南星、炒芥子、川贝母、槟榔、炒山楂、茯苓、六神曲（炒）、炒麦芽、琥珀、冰片、天麻、钩藤、僵蚕（炒）、蝉蜕、全蝎、人工牛黄、雄黄、滑石、朱砂	疏风镇惊，化痰导滞
大青叶、柴胡、黄芩、荆芥、桔梗、甘草	清热解表，利咽止咳
全蝎、胆南星、防风、羌活、天麻、麻黄、钩藤、薄荷、猪牙皂、煅青礞石、天竺黄、陈皮、茯苓、甘草、琥珀、炒僵蚕、蜈蚣、珍珠、朱砂、人工牛黄、人工麝香、冰片	清热化痰，镇惊，息风
金银花、连翘、炒牛蒡子、蒲公英、黄芩、防风、紫苏叶、荆芥穗、葛根、人工牛黄	宣肺解表，清热解毒
连翘、淡豆豉、薄荷、荆芥、炒栀子、大黄、青蒿、赤芍、槟榔、厚朴、黄芩、半夏、柴胡、甘草	疏风解表，清热导滞
大青叶、板蓝根、金银花、连翘、栀子、牡丹皮、黄芩、淡竹叶、地龙、重楼、柴胡、白薇	疏风解表，解毒利咽
朱砂、橘红、川贝母、胆南星、前胡、玄参、清半夏、大青叶、木通、桔梗、荆芥穗、羌活、西河柳、地黄、枳壳（炒）、赤芍、钩藤、葛根、牛蒡子、天麻、甘草、防风、冰片、水牛角浓缩粉、羚羊角粉、薄荷脑	祛风化痰，清热解毒
木香、陈皮、苍术（米泔炒）、炒白术、茯苓、甘草、白扁豆（去皮）、麸炒山药、莲子、麸炒薏苡仁、炒山楂、炒麦芽、六神曲（麸炒）、姜厚朴、麸炒枳实、醋香附、砂仁、法半夏、泽泻	健脾和胃，消食止泻
桂枝、白芍、炙甘草、生姜、大枣	温中补虚，缓急止痛
白芍、大枣、桂枝、炙甘草、生姜	温中补虚，缓急止痛
柴胡、姜半夏、黄芩、党参、甘草、生姜、大枣	解表散热，疏肝和胃
胆南星、制川乌、制草乌、地龙、乳香（制）、没药（制）	祛风散寒，化痰除湿，活血止痛
麝香或人工麝香、木鳖子（去壳去油）、制草乌、枫香脂、醋乳香、醋没药、醋五灵脂、酒当归、地龙、香墨	散结消肿，化瘀止痛
人工麝香、木鳖子（去壳去油）、制草乌、枫香脂、醋乳香、醋没药、醋五灵脂、酒当归、地龙、香墨	散结消肿，化瘀止痛
麻黄、桂枝、白芍、干姜、细辛、炙甘草、法半夏、五味子	解表化饮，止咳平喘
生川乌、生草乌、乌药、白及、白芷、白蔹、土鳖虫、木瓜、三棱、莪术、当归、赤芍、肉桂、大黄、连翘、血竭、乳香（炒）、没药（炒）、三七、儿茶、薄荷脑、水杨酸甲酯、冰片	散瘀活血，舒筋止痛，祛风散寒
当归、蒲黄、五灵脂（醋炒）、赤芍、小茴香（盐炒）、延胡索（醋制）、没药（炒）、川芎、肉桂、炮姜	温经活血，散寒止痛
柴胡、黄芩、人参、甘草、半夏、干姜、大枣、青蒿	解表散热，和解少阳
地黄、熟地黄、续断、附片（黑顺片）、独活、骨碎补、桂枝、淫羊藿、防风、威灵仙、皂角刺、羊骨、白芍、狗脊（制）、知母、伸筋草、红花	补肝肾，强筋骨，祛风湿，通经络
地黄、熟地黄、续断、附片（黑顺片）、独活、骨碎补、桂枝、淫羊藿、防风、威灵仙、皂角刺、羊骨、白芍、狗脊（制）、知母、伸筋草、红花	补肝肾，强筋骨，祛风湿，通经络
丹参、泽兰、桃仁、红花、赤芍、白芷、陈皮、泽泻、王不留行、败酱、川楝子、盐小茴香、盐关黄柏	理气活血，通淋散结
海金沙藤、连钱草、凤尾草、葎草、紫花地丁	清热解毒，利尿通淋
水牛角浓缩粉、牛黄、玳瑁、人工麝香、朱砂、雄黄、琥珀、安息香、冰片	清热解毒，开窍镇惊
阿胶、党参、白术、黄芪、枸杞子、白芍、甘草	补益气血，润燥
山楂、麦芽、六神曲、槟榔、莱菔子、牵牛子	消食导滞
山楂叶、刺玫果	益气化瘀
山绿茶	清热泻火，平肝潜阳
山楂、菊花、盐泽泻、夏枯草、小蓟、炒决明子	平肝潜阳
山香圆叶	清热解毒，利咽消肿
川芎、白芷、羌活、细辛、防风、荆芥、薄荷、甘草	疏风止痛
川贝母流浸膏、、枇杷叶、薄荷脑	清热宣肺，化痰止咳
川贝母、枇杷叶、百部、前胡、桔梗、桑白皮、薄荷脑	止嗽祛痰
梨清膏、川贝母、麦冬、百合、款冬花	润肺止咳，生津利咽
黄连、吴茱萸	泻火，疏肝，和胃，止痛
黄连、吴茱萸	泻火，疏肝，和胃，止痛
寒水石（酒制）、肉桂、石榴子、胡椒、干姜、红花、诃子（去核）、豆蔻、荜茇、光明盐、木香	健胃散寒，除痰
郁金、仙鹤草、五灵脂、白矾、硝石、干漆（制）、麸炒枳壳、马钱子粉	活血化瘀，散结消肿，解毒止痛
柴胡、醋青皮、陈皮、佛手、乌药、醋香附、木香、檀香、丁香、沉香、广藿香、砂仁、豆蔻、姜厚朴、麸炒枳壳、羌活、白芷、铁丝威灵仙（酒炙）、细辛、木瓜、防风、钩藤、炒僵蚕、胆南星（酒炙）、天竺黄、桑寄生、何首乌（黑豆酒炙）、牛膝、川芎、熟地黄、醋龟甲、醋延胡索、乳香（制）、没药（制）、白及、人参、炒白术、茯苓、肉桂、黄连、冰片、朱砂、羚羊角粉	平肝疏络，活血祛风
羚羊角、醋香附、大黄、藿香、玄精石、玄明粉、朱砂、木香、制川乌、五倍子、苍术（米泔水润炒）、苏合香、姜半夏、玳瑁、雄黄、黄连、滑石、猪牙皂、姜厚朴、肉桂、郁金、茯苓、茜草、金银花、黄芩、柴胡、黄柏、紫苏叶、升麻、白芷、天麻、川芎、拳参、干姜、丹参、桔梗、石菖蒲、檀香、蒲黄、琥珀、麻黄、陈皮、人工麝香、安息香、冰片、细辛、千金子霜、丁香、巴豆霜、当归、桃仁霜、甘遂（制）、红大戟、莪术、槟榔、胡椒、葶苈子、炒白芍、煅禹余粮、桑白皮、山豆根、山慈菇、鬼箭羽、降香、赤豆、紫菀、人工牛黄、铜石龙子、蜈蚣（去头、足）、斑蝥（去头、足、翅）0、大枣、水牛角浓缩粉、雌黄	辟秽气，止吐泻
苦参、败酱草、紫花地丁、穿心莲、蒲公英、猪胆粉、紫草（新疆紫草）、芦荟	清热解毒，利湿散结，杀虫止痒
白芷、蛇床子、花椒、土木香、冰片	祛风燥湿，杀虫止痒
三七、人参、麦冬、丹参、枸杞子、何首乌、山楂	益气养阴，活血止痛
注射用薏苡仁油	益气养阴，消癥散结
栀子（制）、黄芩、黄连、黄柏、大黄、龙胆、炒蒺藜、菊花、防风、石决明、玄参、红花、当归、赤芍、地黄、泽泻、羚羊角粉、冰片	清热散风，退翳明目
白术、党参、茯苓、木香、黄连、六神曲（炒）、陈皮、砂仁、炒麦芽、山楂、山药、煨肉豆蔻、炙甘草	健脾和胃
山楂、六神曲（炒）、槟榔、山药、炒白扁豆、炒鸡内金、麸炒枳壳、炒麦芽、砂仁	行气健脾，消食导滞
槟榔、炒牵牛子、陈皮、木香、姜厚朴、醋三棱、醋莪术、猪牙皂	消积化滞，行气止痛
天麻、盐杜仲、制草乌、炮附片、独活、藁本、玄参、当归、地黄、川牛膝、槲寄生、羌活	散风活血，舒筋止痛
天麻、盐杜仲、野菊花、杜仲叶、川芎	降压，降脂，定眩
枇杷叶、罂粟壳、百部、白前、桑白皮、桔梗、薄荷脑	养阴敛肺，镇咳祛痰
鹿茸、山药、山茱萸、熟地黄、枸杞子、丹参、补骨脂、牡丹皮、桑椹、益母草、茯苓、泽泻、盐杜仲、人参茎叶总皂苷	补肾填精，益气壮阳
炙淫羊藿、阳起石（煅、酒淬）、酒肉苁蓉、盐胡芦巴、盐补骨脂、醋五味子、沙苑子、蛇床子、覆盆子、韭菜子、麸炒芡实、肉桂、盐小茴香、茯苓、制远志	补肾助阳
党参、炒白术、炙黄芪、炙甘草、茯苓、制远志、炒酸枣仁、龙眼肉、当归、木香、大枣(去核)	益气健脾，养血安神
党参、炒白术、炙黄芪、炙甘草、茯苓、制远志、炒酸枣仁、龙眼肉、当归、木香、大枣(去核)、生姜	益气健脾，养血安神
当归、酒白芍、熟地黄、酒萸肉、牡丹皮、山药、茯苓、泽泻	滋肝肾，补阴血，清虚热
当归、白芍（炒）、地黄、炙黄芪、阿胶、牡丹皮、香附（制）、茯苓、杜仲（炒）、白术（炒）	益气养血调经
当归、粉葛、党参、苍术（炒）、升麻、苦参、泽泻、炒白术、知母、防风、羌活、黄芩、猪苓、茵陈、甘草	清热利湿，祛风止痛
当归、黄芪	补养气血
当归、熟地黄、川芎、党参、白芍、甘草、黄芪	补血助气，调经
酒当归、龙胆（酒炙）、芦荟、青黛、栀子、酒黄连、酒黄芩、盐黄柏、酒大黄、木香、人工麝香	泻火通便
水飞蓟、当药	清利湿热，益肝退黄
益母草、当归、白芍、柴胡、木香、川芎	养血化瘀，舒肝调经
刺五加、黄芪、陈皮、熟地黄、女贞子、附子（制）、淫羊藿	扶正固本，补肾安神
丹参、葛根、三七、山楂、木香	活血化瘀，行气止痛
丹参、槐花、川芎、三七、红花、降香、赤芍	理气止痛，活血化瘀
葛根、山楂、制何首乌、珍珠粉	养阴宁心，化瘀通络，降血脂
西洋参茎叶总皂苷	益气养心，和血
茶叶提取物	清利头目，醒神健脑，化浊降脂
银杏叶、小叶黄杨、丹参、大果木姜子、薤白	活血行气，通络止痛
丹参、制何首乌、赤芍、枸杞子、葛根、川芎、红花、泽泻、牛膝、地龙、郁金、远志（蜜炙）、九节菖蒲、炒酸枣仁、鹿心粉、甘草	活血化瘀，通窍止痛
红景天、枸杞子、沙棘鲜浆	益气活血
莲子心、珍珠母、槐米、黄柏、木香、黄芩、夏枯草、钩藤、龙胆、淡竹叶、铁丝威灵仙、制天南星、甘草、人工牛黄、朱砂、冰片	平肝潜阳，清心安神
毛冬青、银杏叶、葛根、益母草、豨签草、柿叶	活血化瘀
丹参、三七、冰片、藤合欢、木香、苏合香	行气活血，通窍，解郁
黄芪、地黄、麦冬、五味子、赤芍、桂枝	助阳，益气，养阴
葛根提取物、山楂提取物	活血化瘀，通络止痛
黄芪、党参、麦冬、何首乌、淫羊藿、葛根、当归、丹参、皂角刺、海藻、昆布、牡蛎、枳实	益气活血，化痰通络
黄连、半夏、茯苓、枳实、常山、莲子心、苦参、青蒿、人参、麦冬、甘草	清热化痰，宁心定悸
海螵蛸、枯矾、醋延胡索、白及、甘草	制酸和胃，收敛止痛
鱼腥草、金荞麦、四季青、麻黄、紫菀、前胡、枳壳、甘草	清热化痰，宣肺止咳
法半夏、红花、生姜、白及、佛手、甘草、紫苏叶、薄荷、香橼、陈皮、红参、西洋参、砂仁、沉香、丁香、豆蔻、肉桂、煅赭石	益气温阳，燥湿化痰，降气平喘
陈皮、红花、三七、杜仲、人参、黄芪、洋金花、钻地风、鳖甲	活血益气，补肝肾，接骨续筋，消肿止痛，促进骨折愈合
葛根	解痉止痛
柴胡、山银花、葛根、青蒿、连翘、黄芩、桔梗、苦杏仁、薄荷脑	清热解表，止咳化痰
柴胡、山银花、葛根、青蒿、连翘、黄芩、桔梗、苦杏仁、薄荷脑	清热解表，止咳化痰
荆芥穗、薄荷、防风、柴胡、紫苏叶、葛根、桔梗、苦杏仁、白芷、苦地丁、芦根	疏风散寒，解表清热
大青叶、连翘、荆芥、防风、薄荷、牛蒡子、桔梗、白芷、甘草	疏风清热，发表宣肺
大青叶、板蓝根、连翘、拳参	清热解毒，疏风解表
黄芪、白术、当归、防风	补肺健脾，固表和营
当归、白芍、三棱、柴胡、茯苓、白术、甘草、薄荷、丹参、麦芽、香橼、川楝子、延胡索	疏肝解郁，健脾养血
黄连、吴茱萸（制）、白芍（炒）	泻肝和胃，降逆止呕
广东紫珠干浸膏、益母草干浸膏、乌药干浸膏	清热，祛湿，化瘀，止带
广东紫珠、益母草、乌药	清热，祛湿，化瘀，止带
金银花、赤芍、绵马贯众	清热解毒
金银花、赤芍、绵马贯众	清热解毒
红参、黄芪、胆南星、烫穿山甲、人工牛黄、冰片、烫水蛭、人工麝香、丹参、三七、大黄、地龙、苏合香、全蝎、葛根、穿山龙、当归、牛膝、何首乌、乌梢蛇、桃仁、朱砂、红花、土鳖虫、天麻、细辛、威灵仙、草豆蔻、甘草	活血化瘀，舒筋通络，息风镇痉
蒲公英、黄芩	清热解毒，消肿散结
板蓝根、石膏、芦根、地黄、郁金、知母、石菖蒲、广藿香、连翘	清热祛湿，凉血解毒
熟地黄、酒肉苁蓉、狗脊（盐制）、女贞子（盐制）、淫羊藿、鸡血藤、炒莱菔子、骨碎补、牛膝	补腰肾，强筋骨，活血止痛
金银花、蒲公英、紫花地丁、半枝莲、白头翁、白花蛇舌草	清热解毒，散瘀消肿
柴胡、茵陈、板蓝根、五味子、猪胆粉、绿豆	疏肝理气，健脾消食
垂盆草、虎杖、丹参、灵芝	清热利湿退黄，舒肝化瘀止痛
垂盆草、虎杖、丹参、灵芝	清热利湿退黄，舒肝化瘀止痛
柴胡、茵陈、板蓝根、五味子、猪胆粉、绿豆	疏肝理气，健脾消食
茯苓、赤石脂、广藿香、法半夏、陈皮、厚朴、薄荷、紫苏叶、僵蚕（姜炙）、山药、天竺黄、檀香、白芷、砂仁、防风、荆芥、白附子、独活、白芍、诃子（去核）、荜茇、炒白术、川芎（酒蒸）、木香、朱砂、天麻、香附（四制）	祛风化痰，健脾和胃
金银花、连翘、大黄、桔梗、地黄、栀子、黄柏、黄芩、赤芍、当归、川芎、白芷、白蔹、木鳖子、蓖麻子、玄参、苍术、蜈蚣、樟脑、穿山甲、没药、儿茶、乳香、红粉、血竭、轻粉	清热解毒，活血消肿
密蒙花、蒺藜（盐炙）、菊花、木贼、蛇蜕、蝉蜕、荆芥穗、蔓荆子、薄荷、当归、川芎、黄连、地骨皮、花椒、楮实子、天花粉、甘草	散风清热，退翳明目
芸香浸膏、颠茄流浸膏、乳香、没药、乌药、川芎、郁金、水杨酸甲酯、薄荷油、肉桂油、丁香油、樟脑	活血化瘀，和络止痛
连钱草、盐车前子、木通、徐长卿、石韦、忍冬藤、滑石、瞿麦、苘麻子、甘草	清热利水，通淋排石
醋甘遂、红大戟、白芥子	涤痰逐饮
